Latitude,ZipCode,City,Longitude,County,State,ZipCodeClass
42.4747,01054,LEVERETT,-72.4675,FRANKLIN,MA,STANDARD
42.1733,01056,LUDLOW,-72.6270,HAMPDEN,MA,STANDARD
42.0953,01057,MONSON,-72.2821,HAMPDEN,MA,STANDARD
42.3696,01059,NORTH AMHERST,-72.6360,HAMPSHIRE,MA,STANDARD
42.4152,01060,NORTHAMPTON,-72.7693,HAMPSHIRE,MA,STANDARD
42.3696,01061,NORTHAMPTON,-72.6360,HAMPSHIRE,MA,STANDARD
42.3288,01062,FLORENCE,-72.8452,HAMPSHIRE,MA,STANDARD
42.3179,01063,NORTHAMPTON,-72.6402,HAMPSHIRE,MA,UNIQUE
42.4067,01066,NORTH HATFIELD,-72.6339,HAMPSHIRE,MA,PO BOX ONLY
42.3461,01068,OAKHAM,-72.0588,WORCESTER,MA,STANDARD
42.1761,01069,PALMER,-72.3146,HAMPDEN,MA,STANDARD
42.4490,01070,PLAINFIELD,-72.9584,HAMPSHIRE,MA,STANDARD
42.1774,01071,RUSSELL,-72.8646,HAMPDEN,MA,STANDARD
42.4716,01072,SHUTESBURY,-72.4402,FRANKLIN,MA,STANDARD
42.2300,01073,SOUTHAMPTON,-72.7285,HAMPSHIRE,MA,STANDARD
42.3760,01074,SOUTH BARRE,-72.1494,WORCESTER,MA,PO BOX ONLY
42.2498,01075,SOUTH HADLEY,-72.5815,HAMPSHIRE,MA,STANDARD
42.0666,01077,SOUTHWICK,-72.5412,HAMPDEN,MA,STANDARD
42.1929,01079,THORNDIKE,-72.3296,HAMPDEN,MA,PO BOX ONLY
42.1798,01080,THREE RIVERS,-72.5178,HAMPDEN,MA,STANDARD
42.0619,01081,WALES,-72.2136,HAMPDEN,MA,STANDARD
42.3775,01082,WARE,-72.5485,HAMPSHIRE,MA,STANDARD
42.2040,01083,WARREN,-72.1994,WORCESTER,MA,PO BOX ONLY
42.3903,01084,WEST CHESTERFIELD,-72.8709,HAMPSHIRE,MA,PO BOX ONLY
42.1487,01085,WESTFIELD,-72.5019,HAMPDEN,MA,STANDARD
42.1734,01086,WESTFIELD,-72.8480,HAMPDEN,MA,STANDARD
42.3906,01088,WEST HATFIELD,-72.6469,HAMPSHIRE,MA,STANDARD
42.1258,01089,WEST SPRINGFIELD,-72.6453,HAMPDEN,MA,STANDARD
42.1707,01090,WEST SPRINGFIELD,-72.6048,HAMPDEN,MA,STANDARD
42.2029,01092,WEST WARREN,-72.2290,WORCESTER,MA,PO BOX ONLY
42.4427,01093,WHATELY,-72.6525,FRANKLIN,MA,PO BOX ONLY
42.3582,01094,WHEELWRIGHT,-72.1408,WORCESTER,MA,PO BOX ONLY
42.1260,01095,WILBRAHAM,-72.4900,HAMPDEN,MA,STANDARD
42.4131,01096,WILLIAMSBURG,-72.8217,HAMPSHIRE,MA,STANDARD
42.1617,01097,WORONOCO,-72.8459,HAMPDEN,MA,STANDARD
42.4049,01098,WORTHINGTON,-72.8961,HAMPSHIRE,MA,STANDARD
42.1707,01101,SPRINGFIELD,-72.6048,HAMPDEN,MA,STANDARD
42.1707,01102,SPRINGFIELD,-72.6048,HAMPDEN,MA,STANDARD
42.1030,01103,SPRINGFIELD,-72.5908,HAMPDEN,MA,STANDARD
42.1286,01104,SPRINGFIELD,-72.5680,HAMPDEN,MA,STANDARD
42.0998,01105,SPRINGFIELD,-72.5777,HAMPDEN,MA,STANDARD
42.0492,01106,LONGMEADOW,-72.5679,HAMPDEN,MA,STANDARD
42.1262,01107,SPRINGFIELD,-72.5867,HAMPDEN,MA,STANDARD
42.0806,01108,SPRINGFIELD,-72.5581,HAMPDEN,MA,STANDARD
42.1193,01109,SPRINGFIELD,-72.5490,HAMPDEN,MA,STANDARD
42.1707,01111,SPRINGFIELD,-72.6048,HAMPDEN,MA,UNIQUE
42.1707,01114,SPRINGFIELD,-72.6048,HAMPDEN,MA,UNIQUE
42.1029,01115,SPRINGFIELD,-72.5916,HAMPDEN,MA,UNIQUE
42.1707,01116,LONGMEADOW,-72.6048,HAMPDEN,MA,STANDARD
42.0939,01118,SPRINGFIELD,-72.5232,HAMPDEN,MA,STANDARD
42.1249,01119,SPRINGFIELD,-72.5267,HAMPDEN,MA,STANDARD
42.0946,01128,SPRINGFIELD,-72.4872,HAMPDEN,MA,STANDARD
42.1245,01129,SPRINGFIELD,-72.4895,HAMPDEN,MA,STANDARD
42.1707,01133,SPRINGFIELD,-72.6048,HAMPDEN,MA,UNIQUE
42.1707,01138,SPRINGFIELD,-72.6048,HAMPDEN,MA,STANDARD
42.1707,01139,SPRINGFIELD,-72.6048,HAMPDEN,MA,STANDARD
42.1018,01144,SPRINGFIELD,-72.5915,HAMPDEN,MA,STANDARD
42.1506,01151,INDIAN ORCHARD,-72.5128,HAMPDEN,MA,STANDARD
42.1707,01152,SPRINGFIELD,-72.6048,HAMPDEN,MA,STANDARD
42.1199,01199,SPRINGFIELD,-72.6050,HAMPDEN,MA,UNIQUE
42.4795,01201,PITTSFIELD,-73.2481,BERKSHIRE,MA,STANDARD
42.3929,01202,PITTSFIELD,-73.2285,BERKSHIRE,MA,STANDARD
42.3929,01203,PITTSFIELD,-73.2285,BERKSHIRE,MA,STANDARD
42.3856,01220,ADAMS,-73.1722,BERKSHIRE,MA,STANDARD
42.1860,01222,ASHLEY FALLS,-73.3187,BERKSHIRE,MA,STANDARD
42.3418,01223,BECKET,-73.1035,BERKSHIRE,MA,STANDARD
42.3929,01224,BERKSHIRE,-73.2285,BERKSHIRE,MA,STANDARD
42.4821,01225,CHESHIRE,-73.1275,BERKSHIRE,MA,STANDARD
42.4703,01226,DALTON,-73.0890,BERKSHIRE,MA,STANDARD
42.5161,01227,DALTON,-73.0929,BERKSHIRE,MA,STANDARD
42.2793,01229,GLENDALE,-73.3435,BERKSHIRE,MA,PO BOX ONLY
42.2994,01230,GREAT BARRINGTON,-73.2667,BERKSHIRE,MA,STANDARD
42.2924,01235,HINSDALE,-73.2216,BERKSHIRE,MA,STANDARD
42.2913,01236,HOUSATONIC,-73.3588,BERKSHIRE,MA,STANDARD
42.4876,01237,LANESBORO,-73.2350,BERKSHIRE,MA,STANDARD
42.3699,01238,LEE,-73.2675,BERKSHIRE,MA,STANDARD
42.4592,01240,LENOX,-73.2199,BERKSHIRE,MA,STANDARD
42.3386,01242,LENOX DALE,-73.2509,BERKSHIRE,MA,PO BOX ONLY
42.3561,01243,MIDDLEFIELD,-73.0104,HAMPSHIRE,MA,PO BOX ONLY
42.1228,01244,MILL RIVER,-73.2540,BERKSHIRE,MA,PO BOX ONLY
42.1867,01245,MONTEREY,-73.2065,BERKSHIRE,MA,STANDARD
42.4270,01247,NORTH ADAMS,-73.1863,BERKSHIRE,MA,STANDARD
42.1986,01252,NORTH EGREMONT,-73.4462,BERKSHIRE,MA,STANDARD
42.2132,01253,OTIS,-73.0904,BERKSHIRE,MA,STANDARD
42.2331,01254,RICHMOND,-73.2384,BERKSHIRE,MA,STANDARD
42.1490,01255,SANDISFIELD,-73.1486,BERKSHIRE,MA,STANDARD
42.3673,01256,SAVOY,-73.1285,BERKSHIRE,MA,STANDARD
42.3146,01257,SHEFFIELD,-73.2677,BERKSHIRE,MA,STANDARD
42.1281,01258,SOUTH EGREMONT,-73.3609,BERKSHIRE,MA,STANDARD
42.1987,01259,SOUTHFIELD,-73.2785,BERKSHIRE,MA,STANDARD
42.2866,01260,SOUTH LEE,-73.3133,BERKSHIRE,MA,PO BOX ONLY
42.3046,01262,STOCKBRIDGE,-73.3300,BERKSHIRE,MA,PO BOX ONLY
42.3929,01263,STOCKBRIDGE,-73.2285,BERKSHIRE,MA,UNIQUE
42.2200,01264,TYRINGHAM,-73.1979,BERKSHIRE,MA,STANDARD
42.3605,01266,WEST STOCKBRIDGE,-73.2654,BERKSHIRE,MA,STANDARD
42.6421,01267,WILLIAMSTOWN,-73.2577,BERKSHIRE,MA,STANDARD
42.4437,01270,WINDSOR,-73.1161,BERKSHIRE,MA,STANDARD
42.6013,01301,GREENFIELD,-72.6236,FRANKLIN,MA,STANDARD
